horizon_min,horizon_label,best_iteration,val_mae,val_rmse,val_r2,val_mae_nz,val_rmse_nz,test_mae,test_rmse,test_r2,test_mae_nz,test_rmse_nz,baseline_mae,baseline_rmse,n_train,n_val,n_test,pct_nonzero_train,pct_nonzero_val,model_path
30,30m,95,1.6722816228866577,2.738627065026187,0.742489755153656,3.0122005939483643,3.781041667653148,1.272839903831482,2.077493786854181,0.6064364910125732,2.4274559020996094,2.9792057025904017,4.35195779800415,6.932884693145752,33495,11171,11152,30.201522615315717,49.70906812281801,models/v0.2/carbon_30m.json
60,1h,103,1.7873756885528564,2.798480036852612,0.7131927013397217,3.1288633346557617,3.807810666690803,1.3081215620040894,2.0624704069846675,0.5777031183242798,2.4164021015167236,2.9620782672708006,4.344909191131592,6.795880317687988,33477,11171,11134,34.295187740836994,52.28717214215379,models/v0.2/carbon_1h.json
120,2h,75,1.908073902130127,2.9431805167123333,0.6502147912979126,3.1502137184143066,3.9089101049938892,1.5652132034301758,2.369683991944852,0.37314802408218384,2.4959468841552734,3.122859221564815,4.327777862548828,6.595022201538086,33441,11171,11098,40.513142549564904,55.724644167934834,models/v0.2/carbon_2h.json
240,4h,89,1.7495810985565186,2.709552950003615,0.6519260406494141,2.5659914016723633,3.392887046510092,1.6510825157165527,2.420019312537191,0.2383747100830078,2.3162403106689453,3.015698051556087,4.311767101287842,6.299493789672852,33369,11171,11026,49.348197428751234,62.37579446781846,models/v0.2/carbon_4h.json
