horizon_min,horizon_label,best_iteration,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,baseline_predict_mean_mae,baseline_predict_mean_r2,n_train,n_val,n_test,model_path
30,30m,123,0.2664225399494171,0.7024763506170106,0.6383654475212097,0.5041182637214661,1.0043006448812217,0.5151307582855225,0.4844163656234741,-0.005060553550720215,155595,77832,63036,models/v0.2/lmp_ratio_30m.json
60,1h,79,0.2820151150226593,0.7576350368079762,0.5570772886276245,0.49889469146728516,1.0769156155091963,0.43514060974121094,0.47046151757240295,-0.0048389434814453125,155577,77832,63030,models/v0.2/lmp_ratio_1h.json
120,2h,53,0.3223692774772644,0.8529270683092871,0.40061020851135254,0.6239103674888611,1.3109129893179177,0.14824992418289185,0.44972845911979675,-0.0044460296630859375,155541,77832,63015,models/v0.2/lmp_ratio_2h.json
240,4h,19,0.3500208258628845,0.9236122185518004,0.17710036039352417,0.6427323818206787,1.3248878521512275,0.06757116317749023,0.4111287593841553,-0.0039664506912231445,155469,77832,62988,models/v0.2/lmp_ratio_4h.json
